iter	RMSE
0	0.636285379
1	0.6084932964
2	0.5827889619
3	0.5586262911
4	0.5348152357
5	0.5126365719
6	0.4912741433
7	0.4711193679
8	0.4516877048
9	0.4348522886
10	0.4181580036
11	0.4017460233
12	0.3866949822
13	0.3720141495
14	0.358390794
15	0.3454832263
16	0.333373131
17	0.3217525698
18	0.3108132864
19	0.3003865523
20	0.2907269816
21	0.2818779749
22	0.2730818222
23	0.2649226349
24	0.2576496707
25	0.2506079478
26	0.2437693154
27	0.2374504633
28	0.2317693399
29	0.2262281148
30	0.2211463426
31	0.2163614761
32	0.211892937
33	0.2079165725
34	0.2038951997
35	0.2003385555
36	0.19704024
37	0.1939189104
38	0.1909975449
39	0.1882632378
40	0.1858462523
41	0.1835356237
42	0.1814257482
43	0.1794346997
44	0.1775934272
45	0.175921844
46	0.174302768
47	0.1728874844
48	0.1715171372
49	0.1702674837
50	0.1691098527
51	0.1680249802
52	0.1670789434
53	0.166107272
54	0.1652679174
55	0.164465565
56	0.1637414078
57	0.1630558683
58	0.1624594358
59	0.1618679068
60	0.1613342862
61	0.1607996971
62	0.1603187695
63	0.159880059
64	0.159463146
65	0.1590857034
66	0.1587139459
67	0.1584044672
68	0.1581136351
69	0.1578499503
70	0.1575633123
71	0.1572968019
72	0.1570235406
73	0.1567996657
74	0.1565718365
75	0.1563535098
76	0.1561599261
77	0.1559784703
78	0.1558014529
79	0.1556276697
80	0.1554625386
81	0.1552986494
82	0.1551666829
83	0.1550363754
84	0.1548997561
85	0.1547705722
86	0.1546639187
87	0.1545556908
88	0.1544519402
89	0.154350227
90	0.1542538507
91	0.1541690036
92	0.1540838466
93	0.1539954697
94	0.1539267127
95	0.1538496558
96	0.1537748804
97	0.1537090234
98	0.1536469502
99	0.1535828085
100	0.1535222529
101	0.1534682697
102	0.1534204735
103	0.1533647548
104	0.1533049512
105	0.1532579506
106	0.1532146619
107	0.1531658313
108	0.1531439449
109	0.1530970127
110	0.1530525418
111	0.1530085863
112	0.1529757222
113	0.1529340051
114	0.152906086
115	0.1528678279
116	0.1528403908
117	0.1528029743
118	0.1527784017
119	0.1527465796
120	0.1526880722
121	0.1526551156
122	0.1526269317
123	0.1525975855
124	0.1525657047
125	0.1525310408
126	0.1525032042
127	0.1524817965
128	0.1524498014
129	0.1524425041
130	0.1524267937
131	0.1524001904
132	0.152367668
133	0.1523416987
134	0.1523149668
135	0.1523136568
136	0.1522977277
137	0.1522721761
138	0.1522572323
139	0.1522571452
140	0.1522297754
141	0.1522213282
142	0.152191364
143	0.1521672724
144	0.1521375082
145	0.1521245243
146	0.1521099508
147	0.152093657
148	0.1520751382
149	0.1520750345
150	0.1520612308
151	0.1520391731
152	0.1520307761
153	0.1520173809
154	0.1520161208
155	0.1520091669
156	0.1519894741
157	0.1519730557
158	0.1519532308
159	0.1519369077
160	0.1519179068
161	0.1519066584
162	0.1519044006
163	0.1518913534
164	0.1518822899
165	0.15186256
166	0.1518350833
167	0.151829333
168	0.1518063581
169	0.1517758843
170	0.1517633349
171	0.1517543321
172	0.1517487516
173	0.1517421574
174	0.151739755
175	0.1517337061
176	0.1517211707
177	0.1517184039
178	0.151709926
179	0.1516975653
180	0.1516957714
181	0.151683247
182	0.1516767049
183	0.1516733689
184	0.1516701589
185	0.151665778
186	0.1516444686
187	0.1516444392
188	0.1516315625
189	0.1516218538
190	0.1516121034
191	0.1516120565
192	0.1516026335
193	0.1515861352
194	0.1515815875
195	0.1515801938
196	0.1515666991
197	0.1515662926
198	0.1515335234
199	0.151513342
200	0.1514904003
201	0.1514689767
202	0.1514622837
203	0.1514622609
204	0.1514466935
205	0.1514448763
206	0.1514388445
207	0.1514238945
208	0.1514082012
209	0.1513841491
210	0.1513778528
211	0.1513731454
212	0.1513582456
213	0.1513461239
214	0.1513286769
215	0.1513025955
216	0.1513025932
217	0.1513025853
218	0.1512998516
219	0.1512872502
220	0.1512868896
221	0.1512789098
222	0.1512596096
223	0.151244835
224	0.1512415029
225	0.1512414964
226	0.1512242585
227	0.1512219392
228	0.1512049305
229	0.1511917906
230	0.1511682983
231	0.1511663435
232	0.1511657855
233	0.1511640415
234	0.1511537502
235	0.1511347239
236	0.1511309781
237	0.151130039
238	0.1511262702
239	0.151119918
240	0.1511179371
241	0.1511032581
242	0.1511019152
243	0.1511019022
244	0.1511018904
245	0.1510944907
246	0.1510796931
247	0.1510747608
248	0.1510634269
249	0.1510608367
250	0.1510444485
251	0.1510220312
252	0.1510219944
253	0.1510119282
254	0.1510003616
255	0.1509787202
256	0.150977531
257	0.1509626635
258	0.1509460816
259	0.1509344817
260	0.15093448
261	0.1509162068
262	0.1509161823
263	0.1509161808
264	0.1509123469
265	0.1509123452
266	0.1508957496
267	0.1508957153
268	0.1508876381
269	0.1508663697
270	0.1508640519
271	0.1508583361
272	0.1508579847
273	0.1508579816
274	0.1508402664
275	0.1508128442
276	0.150806118
277	0.1508061145
278	0.150794523
279	0.1507776066
280	0.1507626686
281	0.1507361907
282	0.1507235135
