iter	Passed	Remaining
0	75	75831
1	97	48547
2	105	34995
3	116	28896
4	128	25612
5	138	22867
6	145	20611
7	151	18733
8	166	18386
9	176	17449
10	182	16407
11	188	15524
12	196	14912
13	202	14257
14	209	13725
15	215	13250
16	221	12811
17	228	12440
18	235	12152
19	241	11850
20	249	11624
21	255	11339
22	260	11070
23	270	10983
24	275	10751
25	281	10551
26	291	10501
27	297	10313
28	302	10128
29	309	9997
30	320	10026
31	333	10086
32	339	9963
33	346	9840
34	353	9747
35	360	9647
36	368	9597
37	375	9504
38	382	9417
39	389	9338
40	396	9263
41	403	9192
42	409	9104
43	419	9104
44	424	9013
45	431	8953
46	438	8899
47	448	8902
48	455	8832
49	461	8768
50	471	8771
51	478	8717
52	485	8670
53	491	8618
54	498	8563
55	507	8550
56	513	8488
57	518	8422
58	525	8374
59	531	8319
60	536	8261
61	542	8211
62	548	8163
63	555	8130
64	560	8069
65	566	8019
66	572	7975
67	578	7923
68	584	7883
69	589	7834
70	595	7785
71	600	7743
72	608	7729
73	614	7690
74	623	7692
75	630	7671
76	637	7644
77	643	7609
78	649	7570
79	656	7544
80	661	7510
81	667	7473
82	674	7451
83	680	7416
84	686	7389
85	692	7361
86	699	7338
87	705	7314
88	712	7292
89	718	7260
90	723	7231
91	729	7197
92	735	7170
93	741	7143
94	747	7116
95	752	7086
96	760	7081
97	767	7061
98	776	7067
99	783	7049
100	789	7027
101	796	7014
102	803	6995
103	810	6984
104	819	6984
105	824	6956
106	830	6934
107	837	6921
108	844	6901
109	852	6895
110	861	6902
111	870	6904
112	876	6879
113	884	6871
114	890	6849
115	897	6837
116	904	6825
117	911	6810
118	917	6792
119	923	6772
120	928	6747
121	935	6730
122	941	6714
123	947	6695
124	954	6678
125	961	6667
126	967	6648
127	972	6623
128	976	6596
129	984	6588
130	989	6565
131	994	6540
132	1001	6527
133	1008	6514
134	1015	6504
135	1021	6488
136	1027	6474
137	1034	6460
138	1040	6442
139	1045	6420
140	1052	6412
141	1058	6395
142	1065	6383
143	1070	6363
144	1076	6348
145	1082	6330
146	1088	6316
147	1097	6315
148	1102	6296
149	1108	6279
150	1111	6251
151	1118	6241
152	1125	6228
153	1131	6215
154	1136	6197
155	1142	6183
156	1149	6173
157	1155	6160
158	1161	6143
159	1167	6131
160	1173	6116
161	1180	6108
162	1189	6110
163	1201	6126
164	1208	6117
165	1215	6107
166	1221	6090
167	1227	6080
168	1234	6071
169	1243	6071
170	1248	6050
171	1253	6035
172	1259	6022
173	1266	6014
174	1272	6000
175	1278	5985
176	1284	5970
177	1289	5953
178	1297	5950
179	1303	5938
180	1309	5924
181	1315	5912
182	1341	5991
183	1347	5975
184	1353	5963
185	1360	5956
186	1367	5943
187	1372	5927
188	1377	5909
189	1382	5894
190	1388	5882
191	1397	5882
192	1404	5870
193	1410	5860
194	1418	5857
195	1424	5845
196	1427	5817
197	1433	5805
198	1438	5790
199	1444	5778
200	1449	5763
201	1455	5750
202	1460	5735
203	1467	5726
204	1474	5717
205	1481	5710
206	1487	5698
207	1491	5679
208	1498	5670
209	1504	5658
210	1508	5642
211	1515	5633
212	1520	5619
213	1525	5601
214	1532	5593
215	1538	5583
216	1547	5584
217	1554	5574
218	1560	5564
219	1567	5558
220	1574	5548
221	1579	5536
222	1586	5526
223	1593	5521
224	1600	5513
225	1606	5501
226	1611	5488
227	1617	5475
228	1623	5466
229	1627	5450
230	1634	5440
231	1638	5423
232	1644	5413
233	1651	5404
234	1657	5396
235	1666	5395
236	1677	5399
237	1684	5393
238	1692	5387
239	1699	5380
240	1708	5379
241	1712	5364
242	1718	5352
243	1723	5339
244	1729	5328
245	1735	5318
246	1741	5310
247	1747	5300
248	1757	5299
249	1760	5280
250	1765	5267
251	1770	5254
252	1775	5241
253	1781	5231
254	1787	5222
255	1793	5212
256	1797	5196
257	1803	5187
258	1813	5188
259	1821	5183
260	1827	5175
261	1833	5163
262	1838	5152
263	1846	5147
264	1852	5136
265	1858	5129
266	1865	5121
267	1873	5116
268	1880	5110
269	1887	5103
270	1894	5096
271	1902	5091
272	1907	5080
273	1915	5074
274	1922	5068
275	1928	5059
276	1935	5050
277	1941	5042
278	1948	5036
279	1955	5029
280	1962	5021
281	1969	5013
282	1974	5003
283	1979	4990
284	1985	4981
285	1990	4969
286	1996	4960
287	2001	4948
288	2007	4938
289	2014	4931
290	2021	4924
291	2027	4917
292	2033	4907
293	2039	4897
294	2047	4892
295	2055	4889
296	2062	4881
297	2071	4879
298	2077	4871
299	2085	4865
300	2090	4854
301	2096	4844
302	2102	4836
303	2107	4825
304	2111	4811
305	2121	4810
306	2128	4804
307	2133	4794
308	2140	4786
309	2146	4776
310	2150	4764
311	2159	4761
312	2165	4753
313	2170	4741
314	2174	4727
315	2180	4720
316	2186	4710
317	2192	4701
318	2199	4695
319	2206	4688
320	2213	4681
321	2219	4672
322	2227	4668
323	2233	4660
324	2240	4652
325	2247	4647
326	2254	4639
327	2259	4630
328	2265	4619
329	2271	4611
330	2278	4605
331	2285	4597
332	2289	4585
333	2295	4576
334	2299	4564
335	2306	4557
336	2310	4544
337	2316	4536
338	2319	4523
339	2325	4513
