iter	RMSE
0	0.6380642209
1	0.6102198595
2	0.583758661
3	0.5595399698
4	0.5358974756
5	0.5133516829
6	0.4919669488
7	0.471811798
8	0.452843782
9	0.4352464022
10	0.4181478945
11	0.4019335773
12	0.3867253016
13	0.3722717649
14	0.3589005578
15	0.3462521737
16	0.3340785052
17	0.3227167596
18	0.3119548234
19	0.3017103611
20	0.2921700624
21	0.282744111
22	0.2742202952
23	0.2663267602
24	0.2586666205
25	0.2516893488
26	0.245144365
27	0.2390744708
28	0.2332180503
29	0.2277861682
30	0.2229138843
31	0.2182545971
32	0.2138644581
33	0.2096829665
34	0.2058701607
35	0.2022582765
36	0.19912378
37	0.1960260194
38	0.1932811463
39	0.1906383957
40	0.1881947613
41	0.1859259577
42	0.1839297256
43	0.1820295853
44	0.1802007534
45	0.1785192026
46	0.1770584684
47	0.175597538
48	0.1742838905
49	0.1731511756
50	0.1720082288
51	0.1709644851
52	0.169980677
53	0.1690703438
54	0.1682367238
55	0.1674373356
56	0.1667380212
57	0.166062473
58	0.1654591968
59	0.1648372925
60	0.1642965064
61	0.1638101503
62	0.1633295353
63	0.162842231
64	0.1624457223
65	0.162047187
66	0.1616855217
67	0.1613404533
68	0.161027843
69	0.1607335161
70	0.1604391077
71	0.1601698674
72	0.1599166475
73	0.1596715175
74	0.1594489508
75	0.1592430921
76	0.1590545468
77	0.1588817192
78	0.1587056245
79	0.1585508838
80	0.1584005246
81	0.1582642476
82	0.1581234168
83	0.1580142907
84	0.1578822095
85	0.1577710651
86	0.1576674151
87	0.1575647027
88	0.157467682
89	0.1573750406
90	0.1572809039
91	0.1572084811
92	0.157115117
93	0.1570302556
94	0.156958912
95	0.1568800683
96	0.1568011678
97	0.1567187404
98	0.1566593953
99	0.1565874255
100	0.1565191958
101	0.1564785982
102	0.1564262877
103	0.1563716772
104	0.1563225521
105	0.1562708834
106	0.1562214034
107	0.1561793073
108	0.1561261356
109	0.1560859803
110	0.1560374746
111	0.1559965168
112	0.1559583093
113	0.1559193554
114	0.1558893455
115	0.1558477689
116	0.1558102464
117	0.1557888322
118	0.1557497866
119	0.1557068483
120	0.1556706172
121	0.1556378595
122	0.1556170992
123	0.1555768398
124	0.1555515067
125	0.1555190597
126	0.1554838942
127	0.1554619245
128	0.1554318831
129	0.1554093164
130	0.1553729653
131	0.155348359
132	0.1553230234
133	0.1553086175
134	0.1552873578
135	0.1552727072
136	0.1552536308
137	0.1552298545
138	0.1552034163
139	0.1551804642
140	0.1551522024
141	0.1551395883
142	0.1551019519
143	0.1550895535
144	0.1550752963
145	0.1550595352
146	0.1550425011
147	0.1550120152
148	0.1549906312
149	0.1549767171
150	0.1549674742
151	0.1549498553
152	0.154941777
153	0.1549221901
154	0.1548966674
155	0.1548749757
156	0.1548598573
157	0.1548458994
158	0.1548240213
159	0.1548164169
160	0.1547935777
161	0.1547715395
162	0.1547615913
163	0.1547442484
164	0.1547283398
165	0.1547183764
166	0.1547087441
167	0.154703581
168	0.1546749059
169	0.1546549472
170	0.1546425118
171	0.1546353643
172	0.1546193213
173	0.1546107062
174	0.154596391
175	0.1545844159
176	0.1545652833
177	0.1545481459
178	0.1545401551
179	0.1545231897
180	0.1545074113
181	0.1544931759
182	0.1544795531
183	0.1544714158
184	0.1544574055
185	0.1544464473
186	0.1544376092
187	0.1544295186
188	0.1544169287
189	0.1543998175
190	0.1543922713
191	0.1543785069
192	0.1543653132
193	0.1543576243
194	0.1543518451
195	0.1543375662
196	0.1543375636
197	0.154333365
198	0.1543163284
199	0.1543084316
200	0.1542953128
201	0.1542719189
202	0.1542665249
203	0.1542446328
204	0.1542232798
205	0.1541979063
206	0.154172802
207	0.1541630403
208	0.1541500942
209	0.1541360475
210	0.154123549
211	0.1541053721
212	0.1540918749
213	0.1540851632
214	0.1540780196
215	0.154072865
216	0.1540679494
217	0.1540546713
218	0.1540416483
219	0.1540351564
220	0.1540224226
221	0.1540074595
222	0.1539917442
223	0.1539832232
224	0.1539743905
225	0.1539477525
226	0.1539398289
227	0.1539310967
228	0.1539084979
229	0.1539046852
230	0.1538939031
231	0.1538864392
232	0.1538766722
233	0.1538679103
234	0.1538485157
235	0.1538147414
236	0.153811177
237	0.1537908087
238	0.1537793781
