iter	Passed	Remaining
0	73	73686
1	92	46388
2	125	41625
3	136	34103
4	150	29893
5	162	26886
6	170	24180
7	177	22000
8	188	20706
9	216	21400
10	263	23652
11	270	22288
12	284	21595
13	293	20685
14	302	19847
15	309	19046
16	317	18342
17	325	17745
18	332	17168
19	339	16611
20	349	16276
21	355	15822
22	362	15414
23	371	15098
24	382	14915
25	388	14568
26	396	14276
27	403	14014
28	411	13762
29	419	13578
30	427	13374
31	438	13259
32	445	13053
33	452	12860
34	461	12717
35	469	12570
36	478	12447
37	487	12338
38	495	12202
39	503	12074
40	510	11942
41	519	11847
42	526	11714
43	534	11606
44	540	11469
45	547	11361
46	555	11259
47	563	11178
48	571	11086
49	578	10991
50	586	10920
51	612	11170
52	622	11116
53	630	11037
54	637	10958
55	645	10884
56	665	11002
57	672	10918
58	682	10879
59	689	10800
60	696	10729
61	704	10657
62	710	10573
63	718	10509
64	725	10440
65	732	10371
66	741	10321
67	748	10259
68	756	10203
69	763	10147
70	771	10092
71	778	10036
72	785	9980
73	794	9940
74	801	9880
75	808	9828
76	817	9803
77	826	9772
78	833	9717
79	842	9683
80	848	9630
81	857	9597
82	866	9568
83	873	9523
84	881	9492
85	890	9460
86	899	9437
87	906	9397
88	915	9371
89	924	9344
90	937	9363
91	947	9348
92	960	9363
93	968	9336
94	979	9334
95	986	9293
96	995	9266
97	1003	9231
98	1012	9212
99	1020	9181
100	1026	9135
101	1034	9109
102	1040	9065
103	1048	9036
104	1055	8997
105	1074	9061
106	1082	9034
107	1089	9000
108	1099	8991
109	1109	8976
110	1116	8944
111	1125	8921
112	1132	8885
113	1138	8851
114	1146	8825
115	1155	8805
116	1162	8777
117	1171	8754
118	1179	8733
119	1188	8714
120	1195	8682
121	1203	8661
122	1210	8632
123	1218	8608
124	1227	8589
125	1235	8570
126	1243	8550
127	1249	8512
128	1256	8480
129	1263	8459
130	1271	8432
131	1278	8406
132	1286	8386
133	1295	8371
134	1304	8360
135	1312	8338
136	1321	8323
137	1329	8305
138	1337	8281
139	1344	8260
140	1357	8272
141	1363	8240
142	1372	8223
143	1378	8196
144	1386	8177
145	1397	8176
146	1405	8154
147	1413	8136
148	1422	8122
149	1430	8106
150	1434	8067
151	1441	8044
152	1454	8050
153	1461	8029
154	1469	8010
155	1478	8001
156	1488	7993
157	1497	7978
158	1504	7955
159	1513	7945
160	1523	7941
161	1534	7935
162	1543	7924
163	1551	7909
164	1561	7903
165	1573	7904
166	1585	7907
167	1596	7907
168	1609	7914
169	1618	7902
170	1625	7881
171	1633	7864
172	1642	7851
173	1651	7841
174	1660	7827
175	1668	7809
176	1677	7798
177	1684	7777
178	1698	7789
179	1711	7797
180	1725	7808
181	1736	7805
182	1745	7793
183	1754	7779
184	1762	7766
185	1771	7754
186	1780	7742
187	1788	7726
188	1797	7712
189	1806	7700
190	1817	7696
191	1824	7677
192	1838	7685
193	1853	7700
194	1869	7717
195	1882	7721
196	1889	7701
197	1899	7695
198	1907	7677
199	1915	7662
200	1922	7642
201	1930	7625
202	1936	7601
203	1943	7584
204	1952	7570
205	1961	7558
206	1968	7542
207	1975	7521
208	1983	7508
209	1991	7491
210	1998	7472
211	2007	7461
212	2015	7448
213	2021	7425
214	2032	7421
215	2041	7409
216	2049	7396
217	2058	7384
218	2068	7375
219	2079	7373
220	2090	7368
221	2096	7347
222	2103	7329
223	2112	7318
224	2122	7309
225	2130	7295
226	2140	7290
227	2149	7278
228	2159	7271
229	2166	7253
230	2175	7243
231	2180	7217
232	2189	7206
233	2196	7190
234	2205	7180
235	2214	7167
236	2223	7157
237	2231	7145
238	2240	7134
239	2249	7122
240	2258	7114
241	2264	7093
242	2272	7078
243	2278	7060
244	2286	7045
245	2294	7032
246	2306	7030
247	2315	7020
248	2327	7020
249	2332	6996
250	2338	6978
251	2345	6962
252	2353	6950
253	2363	6940
254	2370	6924
255	2378	6912
256	2384	6894
257	2393	6883
258	2404	6878
259	2411	6864
260	2419	6851
261	2425	6832
262	2432	6817
263	2441	6807
264	2448	6790
265	2455	6776
266	2462	6761
267	2472	6753
268	2480	6739
269	2487	6724
270	2494	6710
271	2503	6700
272	2510	6684
273	2519	6674
274	2526	6661
275	2534	6648
276	2545	6643
277	2554	6633
278	2568	6637
279	2580	6635
280	2588	6622
281	2595	6609
282	2603	6596
283	2609	6578
284	2616	6563
285	2621	6544
286	2628	6530
287	2635	6514
288	2643	6502
289	2652	6493
290	2661	6484
291	2670	6474
292	2678	6463
293	2685	6448
294	2692	6435
295	2701	6426
296	2710	6415
297	2720	6407
298	2727	6394
299	2734	6379
300	2742	6367
301	2748	6352
302	2756	6340
303	2763	6325
304	2767	6305
305	2775	6295
306	2785	6286
307	2792	6274
308	2800	6262
309	2807	6248
310	2812	6231
311	2820	6219
312	2828	6207
313	2834	6191
314	2839	6175
315	2850	6169
316	2857	6156
317	2866	6148
318	2875	6139
319	2884	6128
320	2892	6118
321	2900	6107
322	2909	6097
323	2917	6086
324	2925	6075
325	2935	6068
326	2944	6059
327	2954	6053
328	2962	6041
329	2969	6029
330	2978	6019
331	2988	6012
332	2994	5997
333	3000	5983
334	3006	5968
335	3014	5957
336	3020	5942
337	3030	5936
338	3035	5918
339	3044	5910
340	3049	5893
341	3055	5879
342	3062	5866
343	3069	5853
344	3074	5836
345	3079	5820
346	3085	5805
347	3091	5792
348	3097	5777
349	3101	5760
350	3109	5749
351	3118	5740
352	3129	5735
353	3133	5717
354	3137	5700
355	3144	5687
356	3152	5677
357	3160	5668
358	3169	5658
359	3177	5649
360	3187	5642
361	3195	5632
362	3204	5623
363	3213	5615
364	3220	5603
365	3230	5595
366	3237	5584
367	3245	5574
368	3251	5559
369	3258	5548
370	3271	5545
371	3279	5535
372	3290	5531
373	3299	5522
374	3306	5510
375	3314	5500
376	3325	5494
377	3332	5482
378	3341	5474
379	3349	5465
380	3358	5457
381	3367	5448
382	3376	5438
383	3382	5426
384	3389	5413
385	3396	5403
386	3405	5394
387	3411	5380
388	3424	5378
389	3431	5366
390	3438	5355
391	3446	5345
392	3453	5334
393	3459	5321
394	3467	5310
395	3473	5298
396	3481	5287
397	3489	5278
398	3495	5264
399	3508	5262
400	3514	5249
401	3521	5238
402	3529	5227
403	3537	5218
404	3543	5205
405	3549	5193
406	3556	5181
407	3563	5170
408	3572	5161
409	3579	5150
410	3590	5145
411	3602	5142
412	3609	5130
413	3618	5121
414	3626	5111
415	3634	5102
416	3644	5094
417	3652	5085
418	3657	5072
419	3665	5061
420	3674	5054
421	3682	5043
422	3688	5030
423	3697	5022
424	3713	5023
425	3725	5019
426	3734	5011
427	3745	5006
428	3756	5000
429	3768	4994
430	3776	4985
431	3785	4976
432	3792	4965
433	3800	4956
434	3810	4949
435	3821	4943
436	3833	4939
437	3848	4937
438	3862	4935
439	3870	4926
440	3880	4918
441	3890	4911
442	3899	4902
443	3909	4895
444	3915	4882
445	3923	4873
446	3936	4870
447	3946	4862
448	3958	4857
449	3967	4848
450	3978	4843
451	3991	4839
452	4000	4830
453	4011	4824
454	4021	4816
455	4032	4810
456	4039	4799
457	4048	4790
458	4056	4781
459	4064	4771
460	4072	4761
461	4081	4753
462	4089	4743
463	4098	4734
464	4106	4725
465	4116	4716
466	4123	4706
467	4131	4696
468	4137	4684
469	4144	4674
470	4154	4666
471	4162	4656
472	4172	4648
473	4180	4638
474	4188	4629
475	4198	4621
476	4206	4611
477	4213	4601
478	4220	4590
479	4229	4581
480	4240	4575
481	4248	4565
482	4256	4555
483	4265	4547
484	4273	4537
485	4280	4527
486	4286	4515
487	4294	4505
488	4300	4493
489	4310	4486
490	4317	4475
491	4323	4464
492	4330	4453
493	4337	4443
494	4345	4433
495	4351	4421
496	4359	4412
497	4367	4402
498	4376	4394
499	4384	4384
500	4392	4374
501	4399	4364
502	4405	4352
503	4413	4343
504	4419	4332
505	4427	4322
506	4433	4311
507	4440	4300
508	4447	4289
509	4456	4281
510	4464	4272
511	4474	4264
512	4519	4290
513	4527	4281
514	4534	4269
515	4540	4259
516	4548	4249
517	4556	4240
518	4565	4230
519	4573	4221
520	4581	4212
521	4589	4202
522	4598	4193
523	4605	4183
524	4613	4173
525	4620	4164
526	4629	4154
527	4635	4144
528	4643	4134
529	4653	4126
530	4661	4117
531	4669	4107
532	4676	4097
533	4684	4087
534	4693	4079
535	4701	4070
536	4709	4060
537	4721	4054
538	4731	4046
539	4740	4037
540	4746	4027
541	4754	4017
542	4765	4010
543	4776	4003
544	4785	3995
545	4795	3987
546	4803	3977
547	4811	3968
548	4819	3959
549	4828	3950
550	4836	3941
551	4845	3932
552	4853	3923
553	4862	3914
554	4872	3906
555	4879	3896
556	4887	3887
557	4894	3877
558	4903	3868
559	4912	3859
560	4920	3850
561	4929	3841
562	4937	3832
563	4943	3821
564	4957	3816
565	4968	3809
566	4977	3801
567	4983	3790
568	4989	3779
569	4997	3770
570	5008	3762
571	5018	3754
572	5036	3752
573	5044	3744
574	5054	3736
575	5063	3727
576	5071	3717
577	5079	3708
578	5088	3700
579	5093	3688
580	5100	3678
581	5109	3669
582	5119	3661
583	5127	3652
584	5136	3643
585	5143	3633
586	5150	3624
587	5156	3612
588	5164	3603
589	5171	3593
590	5178	3583
591	5186	3574
592	5198	3567
593	5208	3560
594	5217	3551
595	5225	3542
596	5233	3532
597	5242	3524
598	5250	3515
599	5258	3505
600	5265	3495
601	5271	3485
602	5278	3475
603	5287	3466
604	5295	3457
605	5300	3446
606	5307	3436
607	5316	3427
608	5324	3418
609	5332	3409
610	5340	3400
611	5350	3391
612	5357	3382
613	5362	3371
614	5370	3361
615	5378	3352
616	5385	3342
617	5392	3333
618	5401	3324
619	5409	3315
620	5416	3305
621	5424	3296
622	5431	3286
623	5439	3277
624	5446	3267
625	5454	3258
626	5461	3249
627	5470	3240
628	5479	3232
629	5489	3223
630	5496	3214
631	5505	3205
632	5509	3194
633	5517	3185
634	5525	3175
635	5534	3167
636	5543	3158
637	5550	3149
638	5557	3139
639	5566	3131
640	5573	3121
641	5580	3111
642	5588	3102
643	5594	3092
644	5603	3084
645	5611	3075
646	5619	3065
647	5625	3056
648	5632	3046
649	5641	3037
650	5662	3035
651	5668	3025
652	5675	3015
653	5681	3005
654	5689	2996
655	5696	2987
656	5702	2977
657	5710	2967
658	5724	2961
659	5736	2955
660	5740	2944
661	5748	2935
662	5757	2926
663	5765	2917
664	5772	2907
665	5780	2898
666	5789	2890
667	5797	2881
668	5805	2872
669	5813	2863
670	5819	2853
671	5826	2844
672	5833	2834
673	5841	2825
674	5849	2816
675	5857	2807
676	5864	2797
677	5869	2787
678	5877	2778
679	5886	2770
680	5894	2761
681	5902	2751
682	5911	2743
683	5919	2734
684	5928	2726
685	5936	2717
686	5944	2708
687	5951	2698
688	5958	2689
689	5965	2680
690	5974	2671
691	5981	2662
692	5988	2652
693	5995	2643
694	6003	2634
695	6009	2625
696	6016	2615
697	6024	2606
698	6032	2597
699	6039	2588
700	6047	2579
701	6053	2569
702	6062	2561
703	6069	2551
704	6076	2542
705	6085	2534
706	6093	2525
707	6103	2517
708	6111	2508
709	6118	2499
710	6125	2490
711	6132	2480
712	6139	2471
713	6146	2462
714	6155	2453
715	6160	2443
716	6168	2434
717	6175	2425
718	6180	2415
